city,country,latitude,longitude,guid
Juexi,China,29.471039,121.948692,9dd55497-a904-4dc9-ad15-bfbdcb08a8c0
Kabul,Afghanistan,34.5553494,69.207486,c6c0e702-92f7-43ba-8dbe-427109a3bada
Petroúpolis,Greece,38.0423558,23.6842658,a9b9c355-962b-400b-b22a-7c3da09a8859
Gandong,Indonesia,-7.3966297,111.5498112,ffcab404-57f9-4f84-a753-4b8e974806b0
Tayginka,Russia,55.6246827,60.5063547,2ae70b69-d9af-4679-b1a7-3b670461456f
José Bonifácio,Brazil,-21.0482479,-49.6879727,58e535b3-8dc1-4f36-aa71-95488632330f
Sandaohezi,China,44.335532,85.625121,c1106410-1515-4dd4-ad10-37016bd13010
Sui’an,China,24.115578,117.618772,910c6c2b-7154-4d2f-bf5b-bf16080dac6b
Kan,China,30.917766,113.957037,c008d07d-e0dc-4a84-8ef9-ac0fcf15f994
Xiaoshiqiao,China,25.403263,104.828238,0cbaeeab-cbfc-497d-b526-6464ef85f586
Böhöt,Mongolia,45.23223,108.28245,9eb1d407-57fe-499b-9de4-d9ec23a68e84
Pasirnangka,Indonesia,-6.5792655,106.2698669,8b26c7c4-8da7-449f-b47d-eda4dc604c1e
Saint-Herblain,France,47.221906,-1.605738,b07784e5-cdd6-43cb-b205-d9ab0086c9e5
Xiaoguan,China,36.977145,121.87093,8e81e5f7-ad44-4441-adb6-ac8e849f988b
Skien,Norway,59.2254827,9.5589227,257a2514-ab0f-4350-a169-9178dd86edfd
Pirojpur,Bangladesh,22.4217587,89.0445636,a6e11a1d-9d5b-4565-afa4-3f18ba28c6dc
Bayan Huxu,China,44.889488,117.470597,3c9f4858-bde8-4a9a-adf1-d7cac9fad3cd
Karlovy Vary,Czech Republic,50.2318521,12.8719616,00d8c6ec-bc30-4ff4-af7a-bb9208e87dc1
Ostrogozhsk,Russia,50.8548419,39.0632827,5a5b0358-2040-4ffe-ac50-96a6c80fa72c
Esfarāyen,Iran,37.0666772,57.496673,065baccc-d3b8-4b9a-b17b-3efc6bd97eb8
Energodar,Ukraine,47.5015067,34.6341859,08b5b9d3-643a-4e8f-b335-3f54a317a3c5
Liaoyang,China,41.267244,123.236944,3e76a90a-5537-4cd3-b83e-87c22fa00e14
Awar-awar,Indonesia,-7.76929,114.2241895,9407333b-806c-4c44-80f8-5800c5f7f7cb
Raojān,Bangladesh,22.5250447,91.9196949,77a12317-ae87-4b83-a1b4-a45cbe5f7d6f
Phu Kradueng,Thailand,16.9023422,101.7523854,97db09c9-c951-4cca-95c1-867c0fb5074e
San Luis,Colombia,4.0627144,-75.1285712,72b72fe4-a5e2-497b-afc8-7144ff89f26c
Kiloloran,Philippines,14.63571,121.60617,9663aec0-0ce1-4269-a19a-a6af9692fbd0
Songzhuang,China,39.964054,116.714967,c66fa6f8-da3e-4dca-bf00-ea64070d450d
Kobe,Japan,34.5465928,134.3028193,32caf151-c4f1-42d8-a8b5-8ceaa07c0f91
Manalu,Indonesia,2.1842278,98.577596,6f5a871d-e07f-411c-90e0-be5f855609de
Paripiranga,Brazil,-10.6670645,-37.9148742,97c8e8fa-b961-4240-8a7d-9b24ffebc1c5
Khairiahmandah,Indonesia,0.0090686,103.5089907,4cd34aa3-2919-491a-bf56-7e73bf822713
Borovoy,Russia,53.5325424,91.9206341,524a2b3b-4121-41b9-8e9d-a68d67bef24b
San Pedro Jocopilas,Guatemala,15.0952158,-91.1508967,3c5224a0-3943-4c86-a496-5e6463f8dc29
Barice,Bosnia and Herzegovina,43.8903154,18.4410798,c54af518-f596-4c0f-bf21-a68d095031f7
Guali,China,25.234479,110.179953,1155d6bf-5cae-48a7-a82b-439cedc7f09f
Irkutsk,Russia,52.2445931,104.2483085,e1ccc2b8-3fff-4c10-bdbd-ee953f4cb4b9
Rungis,France,48.7700185,2.3508225,75085ac3-8efb-495a-ba97-e36ef9f6593e
Shāhdādkot,Pakistan,27.9972231,67.9616412,e85925ff-d9a8-41d4-b381-38b3ed5087f9
Refojos de Riba de Ave,Portugal,41.2875744,-8.447078,c8d59b57-838d-4ab2-8a43-f27e23f8e0fa
Trostyanets’,Ukraine,50.4810642,34.9654363,0ef207ec-97fa-40e0-80ae-455ac545f0e5
Guayabal,Venezuela,8.0011905,-67.3950339,ab666efe-cb9c-4283-aa23-6b75f303a31a
Carvalhal,Portugal,40.4604941,-8.2950775,04e5e5f9-528a-4cce-b353-975322431930
Dubki,Russia,59.740619,28.4695971,8dc029d8-cc78-4900-9e7f-bcfe01b58719
Černilov,Czech Republic,50.2614977,15.9258038,34074398-a9b4-4e18-85a9-27a18a3c3348
Shanxi,China,37.2425649,111.8568586,f5b882ed-fe27-463a-b0ba-c06b66c52364
